Temp;PWM
24;51
24;51
24;64
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;51
24;64
24;51
24;64
24;64
24;64
24;64
24;64
24;64
24;64
24;64
24;64
24;76
24;64
24;64
24;76
24;76
24;64
24;76
24;76
24;76
24;76
24;76
24;76
24;76
24;76
24;76
24;76
24;76
24;89
24;76
24;89
24;89
24;89
24;89
24;89
24;89
24;89
24;89
24;89
24;89
27;89
27;89
27;89
27;89
27;89
27;89
27;89
27;89
28;102
28;102
28;102
27;89
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
28;102
29;115
28;102
29;115
28;102
28;102
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
29;115
29;115
29;115
29;115
29;115
30;128
29;115
29;115
29;115
30;128
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
29;115
29;115
29;115
29;115
29;115
28;102
29;115
28;102
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
29;115
30;128
29;115
30;128
30;128
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
29;115
30;128
29;115
30;128
29;115
30;128
29;115
29;115
29;115
29;115
30;128
30;128
29;115
29;115
29;115
30;128
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
29;115
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;128
30;141
30;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
31;141
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
32;153
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
33;166
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
34;179
